Date,Open,High,Low,Close,Volume
2014-03-03,38461,39577,38302,39497,1359682
2014-03-04,39378,39537,36707,36867,1061410
2014-03-05,37584,37704,36269,36867,1496164
2014-03-06,36867,37146,35831,36309,839211
2014-03-07,36827,36986,36468,36787,457670
2014-03-10,36668,37345,36070,36867,528073
2014-03-11,36867,37544,36867,37465,477952
2014-03-12,36030,36389,33718,34356,2851882
2014-03-13,34515,34954,32881,34436,1790990
2014-03-14,33957,34196,33479,33479,624776
2014-03-17,33160,33718,32881,33160,432192
2014-03-18,33479,33838,33439,33479,316762
2014-03-19,33678,33758,33160,33160,320425
2014-03-20,33001,33280,32124,32602,600318
2014-03-21,32562,33240,32562,33120,318393
2014-03-24,33559,33559,32961,32961,277185
2014-03-25,33080,33200,32682,32921,281022
2014-03-26,32921,37744,32921,36668,3239674
2014-03-27,36668,36907,34874,35512,1472886
2014-03-28,35392,36070,34874,34994,635627
2014-03-31,34994,35352,34555,35073,417479
2014-04-01,35073,35950,34954,35392,743622
2014-04-02,35831,37066,35711,36628,1186184
2014-04-03,36668,42088,36668,38939,5972697
2014-04-04,39936,40574,38581,39059,2030413
2014-04-07,38581,41769,38461,40653,2446327
2014-04-08,40255,41131,39458,39458,1052917
2014-04-09,40016,40494,39258,39537,741050
2014-04-10,40334,40813,39458,39577,834905
2014-04-11,39298,40095,38820,39856,755858
2014-04-14,40334,41530,40334,41052,1395248
2014-04-15,41291,41530,40414,40414,629886
2014-04-16,40334,40414,39218,39657,714390
2014-04-17,39537,40016,39378,39497,355141
2014-04-18,39697,41211,39537,40972,1276016
2014-04-21,40892,41211,39816,39856,684528
2014-04-22,39458,39697,38182,38660,1345925
2014-04-23,38660,39378,37943,37943,774481
2014-04-24,38182,38740,37544,38302,632038
2014-04-25,39218,40095,38262,38262,1162282
2014-04-28,37943,38541,37784,37943,381657
2014-04-29,38342,38541,37903,38102,378836
2014-04-30,38023,39139,37823,38342,545959
2014-05-02,38262,38501,37385,37624,457840
2014-05-07,37784,37943,37066,37066,368521
2014-05-08,36986,37345,36349,36707,367399
2014-05-09,36787,37784,36787,37265,274632
2014-05-12,37465,38421,37465,38302,471840
2014-05-13,38461,38979,38222,38222,419092
2014-05-14,38182,38860,37744,38860,430307
2014-05-15,39657,41052,39099,40653,1612603
2014-05-16,41371,41610,39936,40334,1482752
2014-05-19,40334,40334,39218,39458,797335
2014-05-20,39577,40095,38939,38939,578827
2014-05-21,38860,39537,38740,39338,424350
2014-05-22,39497,39657,38621,38660,385496
2014-05-23,38660,39856,38541,39059,534215
2014-05-26,39338,40494,38780,38820,982128
2014-05-27,38820,38820,37983,38063,1236463
2014-05-28,38581,38581,37784,37983,416624
2014-05-29,38063,38302,37744,38023,305402
2014-05-30,37943,38939,37345,38780,620846
2014-06-02,38302,39458,37465,37505,1136123
2014-06-03,37305,37624,36588,36947,500379
2014-06-05,36907,37265,36269,36428,351615
2014-06-09,36508,36986,36349,36389,276223
2014-06-10,36269,37863,36269,37863,365437
2014-06-11,37624,37744,37066,37146,304301
2014-06-12,37265,37943,36787,37823,326702
2014-06-13,37584,38182,37425,37943,360472
2014-06-16,37983,38063,37584,37584,218166
2014-06-17,37584,37943,37305,37744,248563
2014-06-18,37784,38102,37584,37624,257422
2014-06-19,37505,37863,36707,36787,386673
2014-06-20,36747,36947,35751,35751,574801
2014-06-23,35711,35950,34794,35073,467234
2014-06-24,35073,36070,34436,35870,531720
2014-06-25,35910,36548,35472,35751,416119
2014-06-26,35711,36189,35711,35831,176738
2014-06-27,35910,36668,35910,36269,244853
2014-06-30,36787,37704,36349,37106,529387
2014-07-01,37106,37465,36787,37265,317687
2014-07-02,37584,37784,37026,37465,479568
2014-07-03,35073,36189,34515,35950,1800844
2014-07-04,36070,37106,35472,37106,1094342
2014-07-07,37186,37305,36508,36588,384026
2014-07-08,36309,36468,35950,35950,388087
2014-07-09,36309,36787,35591,35751,362144
2014-07-10,35631,35990,35512,35751,321353
2014-07-11,35631,35711,34754,34754,563853
2014-07-14,34675,35312,34555,34754,347642
2014-07-15,34954,34994,34595,34595,316063
2014-07-16,34396,35312,34396,34834,369963
2014-07-17,35073,35113,34276,34356,348391
2014-07-18,33997,34436,33638,33758,492702
2014-07-21,33718,34236,32562,33798,1221414
2014-07-22,33599,34117,33479,33559,286554
2014-07-23,33718,35631,33718,34196,1003794
2014-07-24,34276,34635,33878,33878,283805
2014-07-25,33957,34077,33559,33599,302433
2014-07-28,33599,33678,33001,33001,467089
2014-07-29,33001,33439,32642,33001,476533
2014-07-30,32921,33160,32642,32801,371015
2014-07-31,32801,33041,31646,31765,817507
2014-08-01,31127,32363,31008,31885,443465
2014-08-04,31646,33120,31606,32283,736491
2014-08-05,32323,36668,32204,35033,3124466
2014-08-06,34994,35153,33080,33080,1312190
2014-08-07,33200,33917,32124,32204,912420
2014-08-08,31885,32602,31566,31646,858743
2014-08-11,31685,34037,31685,32403,1212068
2014-08-12,32762,32881,31845,31885,524772
2014-08-13,31805,32642,31805,32642,497791
2014-08-14,32762,33120,32522,33041,419110
2014-08-18,33359,33997,32522,33320,855076
2014-08-19,33599,33718,32801,32801,450195
2014-08-20,32801,32961,32164,32283,396989
2014-08-21,32363,32642,32004,32004,340470
2014-08-22,32004,32243,31845,32044,332082
2014-08-25,31964,32801,31964,32164,302411
2014-08-26,32483,32642,32204,32602,295136
2014-08-27,32801,33678,32722,33280,666415
2014-08-28,33359,33399,32961,33041,320597
2014-08-29,33120,33280,32881,33200,361744
2014-09-01,33399,33439,32762,32762,283407
2014-09-02,32801,33160,32562,32722,208899
2014-09-03,32961,33001,32602,32642,259002
2014-09-04,32522,34356,32363,34077,1063580
2014-09-05,34635,34754,33678,34077,697407
2014-09-11,34077,34754,33957,34555,478160
2014-09-12,34874,36468,34834,36189,1675084
2014-09-15,36309,36389,35233,35233,608967
2014-09-16,35432,36149,35113,35113,441470
2014-09-17,35312,35990,34675,35751,510020
2014-09-18,36070,36309,35312,35552,318970
2014-09-19,35552,35910,35392,35512,306332
2014-09-22,35233,35233,34236,34316,608574
2014-09-23,34356,36309,34236,36309,1141115
2014-09-24,36468,37624,36110,37345,1356268
2014-09-25,37544,37943,36827,37106,704052
2014-09-26,37465,37823,36867,37226,547606
2014-09-29,37305,38063,36787,36986,709943
2014-09-30,37544,39019,37465,39019,1046237
2014-10-01,39139,39338,38102,38262,843016
2014-10-02,38023,38660,37624,38142,426133
2014-10-06,38621,39019,37784,38700,539167
2014-10-07,38381,38660,34675,34834,2206588
2014-10-08,34715,35432,34117,34117,779741
2014-10-10,34196,34994,33439,33718,707980
2014-10-13,33320,34037,32403,32921,634803
2014-10-14,33080,34555,33041,34276,496105
2014-10-15,34515,34555,33359,33519,347038
2014-10-16,33160,33798,32602,33359,388831
2014-10-17,33559,33638,32642,33001,396116
2014-10-20,33399,33957,33080,33957,333424
2014-10-21,33957,34196,33120,33120,300673
2014-10-22,33559,33678,32961,33280,368942
2014-10-23,33280,33519,33160,33160,271634
2014-10-24,33479,33479,32682,32762,309114
2014-10-27,32921,33080,32443,32602,324482
2014-10-28,32483,32801,32443,32801,266060
2014-10-29,32762,33439,32722,33200,375777
2014-10-30,33320,33359,32722,33001,232152
2014-10-31,33080,33439,32961,33439,265321
2014-11-03,33399,33599,32841,33200,268475
2014-11-04,33280,35033,33280,33519,702407
2014-11-05,33718,34794,33678,34675,626269
2014-11-06,34515,34715,33878,33957,336765
2014-11-07,34276,34675,34117,34356,244906
2014-11-10,34675,34675,34077,34276,289413
2014-11-11,34754,35273,34356,34396,462332
2014-11-12,34715,34874,33599,34077,603745
2014-11-13,34077,34436,33878,33878,261343
2014-11-14,33798,34316,33160,33160,384894
2014-11-17,33160,33399,32084,32084,646126
2014-11-18,31885,32602,31725,31845,781061
2014-11-19,31964,32961,31805,32522,689058
2014-11-20,32642,32722,31885,32044,356476
2014-11-21,32124,32323,31925,32283,303917
2014-11-24,32323,32443,31805,32084,441317
2014-11-25,31964,32283,31925,31925,356866
2014-11-26,32004,32124,31606,31606,524477
2014-11-27,31566,33160,31167,31765,1112888
2014-11-28,31885,32243,31685,31765,434733
2014-12-01,32004,32243,31805,32204,438681
2014-12-02,32443,32443,32004,32044,218058
2014-12-03,32044,32283,31964,31964,201455
2014-12-04,32164,32961,32084,32602,621579
2014-12-05,32881,32881,32283,32403,278372
2014-12-08,32243,32403,31805,31885,510757
2014-12-09,31845,32084,31207,31207,492387
2014-12-10,31088,31327,29892,30330,803285
2014-12-11,30131,30968,30051,30051,342411
